
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
さよなら絶望先生||742||742||6||6||0.008086253369272238||0.008086253369272238
朝ズバッ!||742||742||0||0||0.0||0.0
SAMURAI BASEBALL||741||741||1||1||0.001349527665317139||0.001349527665317139
福岡市||741||741||7||7||0.009446693657219974||0.009446693657219974
地上デジタルテレビ放送||739||739||1||1||0.0013531799729364006||0.0013531799729364006
東北放送||739||739||0||0||0.0||0.0
ASIAN KUNG-FU GENERATION||739||739||1||1||0.0013531799729364006||0.0013531799729364006
中井正広のブラックバラエティ||737||737||0||0||0.0||0.0
クイズ$ミリオネア||735||735||0||0||0.0||0.0
オレたちひょうきん族||735||735||13||13||0.017687074829931974||0.017687074829931974
北日本放送||735||735||1||1||0.0013605442176870747||0.0013605442176870747
新潟県中越地震||734||734||2||2||0.0027247956403269754||0.0027247956403269754
ガンダムシリーズの登場人物一覧||733||733||0||0||0.0||0.0
テレビ山口||733||733||1||1||0.001364256480218281||0.001364256480218281
彩雲国物語||730||730||0||0||0.0||0.0
軍隊の階級||729||729||1||1||0.0013717421124828531||0.0013717421124828531
どうぶつの森の登場キャラクター一覧||728||728||4||4||0.005494505494505495||0.005494505494505495
東北楽天ゴールデンイーグルス||728||728||0||0||0.0||0.0
FOMA||726||726||1||1||0.0013774104683195593||0.0013774104683195593
日本の女性専用車両||726||726||1||1||0.0013774104683195593||0.0013774104683195593
山口放送||725||725||1||1||0.001379310344827586||0.001379310344827586
グランド・セフト・オートシリーズ||725||725||1||1||0.001379310344827586||0.001379310344827586
ファイナルファンタジーXII||723||723||2||2||0.0027662517289073307||0.0027662517289073307
西部警察||723||723||1||1||0.0013831258644536654||0.0013831258644536654
ニッポン放送番組一覧||723||723||0||0||0.0||0.0
魔法先生ネギま!||723||723||0||0||0.0||0.0
小室哲哉||723||723||2||2||0.0027662517289073307||0.0027662517289073307
2ちゃんねらー||721||721||10||10||0.013869625520110958||0.013869625520110958
東海道本線||721||721||5||5||0.006934812760055479||0.006934812760055479
ブラック・ジャック||721||721||3||3||0.004160887656033287||0.004160887656033287
女王の教室||720||720||1||1||0.001388888888888889||0.001388888888888889
デジモンアドベンチャー||720||720||2||2||0.002777777777777778||0.002777777777777778
川嶋あい||720||720||4||4||0.005555555555555556||0.005555555555555556
NTTドコモ||719||719||1||1||0.0013908205841446453||0.0013908205841446453
WWEに所属する人物一覧||718||718||0||0||0.0||0.0
